id,played_at,tournament,map,game_length,winner,matchup,p1_max_collection_rate,p2_max_collection_rate,p1_apm,p2_apm,p1_spm,p2_spm,p1_workers_produced,p2_workers_produced,p1_workers_killed,p2_workers_killed,p1_workers_lost,p2_workers_lost,p1_supply_block,p2_supply_block,p1_sq,p2_sq,p1_avg_pac_per_min,p2_avg_pac_per_min,p1_avg_pac_action_latency,p2_avg_pac_action_latency,p1_avg_pac_actions,p2_avg_pac_actions,p1_avg_pac_gap,p2_avg_pac_gap,p1_avg_collection_rate_minerals,p1_avg_unspent_minerals,p1_minerals_lost,p1_minerals_collected,p2_avg_collection_rate_minerals,p2_avg_unspent_minerals,p2_minerals_lost,p2_minerals_collected,p1_avg_collection_rate_gas,p1_avg_unspent_gas,p1_gas_lost,p1_gas_collected,p2_avg_collection_rate_gas,p2_avg_unspent_gas,p2_gas_lost,p2_gas_collected,p1_race,p2_race
f1439e636a0e45fab6b4b4789500bc87,2021-10-13 01:59:23+00:00,DH Masters Winter,2000 Atmospheres LE,615,1,TvZ,4103,4014,341,492,29.4,49.8,71,106,36,3,3,36,65,50,134,138,45.6,52.72,0.18,0.14,6.38,8.42,0.06,0.07,1894.9,216.2,4659,18660,1965.3,302.7,6092,20100,428.4,284.6,597,3441,439.0,195.0,2017,3570,Terran,Zerg
3ccba94895a04fb6b782c9ec53a93d69,2021-12-20 07:11:06+00:00,DH Masters Last Chance,2000 Atmospheres LE,465,1,PvP,2087,2395,313,347,42.8,32.0,51,51,7,24,24,7,45,25,104,109,43.87,35.74,0.18,0.17,6.19,8.69,0.09,0.07,1072.5,171.9,875,9030,1152.4,213.4,2575,9725,231.0,126.8,350,1592,278.9,92.7,1050,1960,Protoss,Protoss
ca91449c1dd34a74bf0a68e09ed32e38,2021-10-02 19:42:27+00:00,DH Masters Winter,Jagannatha LE,339,2,ZvZ,1527,1225,391,384,12.0,52.0,30,25,5,10,10,5,25,45,106,106,19.82,38.22,0.2,0.15,17.71,9.29,0.07,0.11,898.0,143.1,1750,6060,960.2,161.3,1712,6260,113.0,42.5,250,540,82.5,32.5,87,168,Zerg,Zerg
60960698dd1c4801b7f7080ca7041595,2021-12-15 18:50:49+00:00,DH Masters Last Chance,큐리어스 마인즈 - 래더,480,2,TvP,2524,3050,307,426,41.8,35.1,51,51,3,4,4,3,25,35,113,123,41.47,38.97,0.19,0.13,6.68,10.09,0.09,0.04,1269.7,206.6,525,10555,1309.8,158.5,356,11052,334.1,136.3,250,2004,335.4,116.2,102,2177,Protoss,Terran
0861d44202e44ed281d87fe4b5305a66,2021-10-09 04:45:27+00:00,DH Masters Winter,2000 Atmospheres LE,532,1,TvP,3577,3666,272,368,49.1,20.6,66,62,0,2,2,0,10,15,133,129,40.67,39.43,0.24,0.15,5.67,8.32,0.11,0.04,1726.5,270.3,1575,15465,1649.9,195.4,2875,14890,416.3,133.7,400,2954,386.9,202.1,1025,2882,Protoss,Terran
7d6d8ed64cf04f43b45bc608b68ee63e,2022-02-27 01:39:08+00:00,IEM Katowice,[ESL] Glittering Ashes,693,2,ZvZ,3358,3666,387,478,45.4,68.0,82,81,20,28,28,20,70,35,135,148,50.01,53.3,0.14,0.14,7.04,8.22,0.07,0.11,1629.4,212.7,7350,19175,1953.9,275.9,7400,22445,511.9,174.9,2725,5223,534.5,144.1,2425,4992,Zerg,Zerg
2f796fc9d69f417bb658c3edf607fe62,2021-10-01 00:06:28+00:00,DH Masters Winter,Oxide LE,1081,2,TvZ,5094,4462,438,421,40.3,39.9,114,89,40,35,35,40,40,40,162,159,37.1,54.9,0.17,0.15,11.22,6.2,0.08,0.06,2533.9,304.8,29359,43225,2111.5,221.9,17819,35995,847.8,661.7,7575,12090,744.2,289.1,6441,11060,Zerg,Terran
069deb82976643c29e09927f355064cb,2021-09-30 03:13:52+00:00,DH Masters Winter,Romanticide LE,254,1,TvZ,1208,1158,274,435,34.7,35.6,24,23,4,0,0,4,50,10,107,102,42.02,38.48,0.16,0.14,6.03,10.98,0.08,0.08,816.2,129.5,0,4020,849.0,148.0,555,4395,45.9,16.6,0,196,105.2,46.7,30,240,Terran,Zerg
da85a42debf34468a1bf9f6e037f257c,2021-12-15 18:52:19+00:00,DH Masters Last Chance,글리터링 애쉬즈 - 래더,589,1,PvP,3302,3375,302,286,36.2,27.4,73,65,20,9,9,20,10,15,128,126,50.89,36.54,0.18,0.19,5.28,7.0,0.06,0.05,1582.7,198.6,2150,15570,1533.2,185.4,3275,15325,399.7,173.2,325,3174,362.5,163.7,975,3006,Protoss,Protoss
cdfcc6b2e9b34e02947af6b6906997e9,2021-10-11 00:22:47+00:00,DH Masters Winter,Blackburn LE,1095,1,PvZ,4821,4439,445,291,41.8,34.0,134,89,61,119,119,61,50,105,112,131,51.42,40.69,0.16,0.22,7.54,6.3,0.06,0.06,1953.9,686.4,14175,33398,1759.8,272.3,15985,33033,497.7,459.3,3575,6834,691.3,382.8,8325,10571,Zerg,Protoss
